,user_id,uuid,timestamp,type,value,perceived_personalization,emotional_trust,trust_in_competence,intention_to_use,usefulness,overall_satisfaction,providing_information
0,demo_2_1_2,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-04 12:41:01,final_ranking_survey,"{'perceived_personalization': 5, 'emotional_trust': 5, 'trust_in_competence': 7, 'intention_to_use': 6, 'usefulness': 6, 'overall_satisfaction': 6, 'providing_information': 6}",5,5,7,6,6,6,6
1,demo_3_1_4,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-04 18:21:20,final_ranking_survey,"{'perceived_personalization': 7, 'emotional_trust': 5, 'trust_in_competence': 6, 'intention_to_use': 5, 'usefulness': 6, 'overall_satisfaction': 6, 'providing_information': 6}",7,5,6,5,6,6,6
2,user_2_0_0,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-04 21:24:22,final_ranking_survey,"{'perceived_personalization': 3, 'emotional_trust': 3, 'trust_in_competence': 5, 'intention_to_use': 3, 'usefulness': 2, 'overall_satisfaction': 3, 'providing_information': 5}",3,3,5,3,2,3,5
3,user_2_2_3,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-04 22:48:25,final_ranking_survey,"{'perceived_personalization': 5, 'emotional_trust': 4, 'trust_in_competence': 4, 'intention_to_use': 4, 'usefulness': 4, 'overall_satisfaction': 5, 'providing_information': 5}",5,4,4,4,4,5,5
4,user_1_1_1,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-04 23:06:30,final_ranking_survey,"{'perceived_personalization': 4, 'emotional_trust': 5, 'trust_in_competence': 6, 'intention_to_use': 4, 'usefulness': 4, 'overall_satisfaction': 5, 'providing_information': 6}",4,5,6,4,4,5,6
5,user_0_0_4,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-05 01:58:44,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 6, 'trust_in_competence': 6, 'intention_to_use': 6, 'usefulness': 6, 'overall_satisfaction': 6, 'providing_information': 6}",6,6,6,6,6,6,6
6,user_0_1_1,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-05 16:07:48,final_ranking_survey,"{'perceived_personalization': 7, 'emotional_trust': 7, 'trust_in_competence': 7, 'intention_to_use': 7, 'usefulness': 7, 'overall_satisfaction': 7, 'providing_information': 7}",7,7,7,7,7,7,7
7,demo_2_2_0,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-07 08:39:49,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 6, 'trust_in_competence': 7, 'intention_to_use': 7, 'usefulness': 7, 'overall_satisfaction': 7, 'providing_information': 7}",6,6,7,7,7,7,7
8,demo_1_0_2,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-08 16:30:42,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 5, 'trust_in_competence': 5, 'intention_to_use': 4, 'usefulness': 4, 'overall_satisfaction': 5, 'providing_information': 6}",6,5,5,4,4,5,6
9,demo_2_2_4,0a1acf10-3a5c-4d28-97cc-ddd18121057c,2024-11-09 17:30:19,final_ranking_survey,"{'perceived_personalization': 6, 'emotional_trust': 6, 'trust_in_competence': 5, 'intention_to_use': 7, 'usefulness': 7, 'overall_satisfaction': 7, 'providing_information': 6}",6,6,5,7,7,7,6
